,metadata,sent,mvi,inf,xobj
37,Xenophon (0032) - Economics (003),"τὸ γὰρ ἐν τῷ αὐτῷ χρόνῳ συνεσκευασμένοις χρῆσθαι τοῖς τε πρὸς τὴν ὑγίειαν καὶ τοῖς πρὸς τὴν ῥώμην παρασκευάσμασι καὶ τοῖς εἰς τὸν πόλεμον ἀσκήμασι καὶ ταῖς τοῦ πλούτου ἐπιμελείαις , ταῦτα πάντα ἀγαστά μοι δοκεῖ εἶναι .",δοκεῖ,χρῆσθαι,χρόνῳ;παρασκευάσμασι
38,Plato (0059) - Republic (030),"οὐκοῦν καὶ τοῦτο αὖ ἄλλο πρόσταγμα τοῖς φύλαξι προστάξομεν , φυλάττειν παντὶ τρόπῳ ὅπως μήτε σμικρὰ ἡ πόλις ἔσται μήτε μεγάλη δοκοῦσα , ἀλλά τις ἱκανὴ καὶ μία .",προστάξομεν;δοκοῦσα,φυλάττειν,τρόπῳ
39,Xenophon (0032) - Anabasis (006),"ὅσα μοι οὖν δοκεῖ καιρὸς εἶναι ποιεῖν ἐν τῇ μονῇ , ταῦτα ἐρῶ .",δοκεῖ,ποιεῖν,μονῇ
40,Isocrates (0010) - Letter 2 (027),"ἀλλὰ τῶν μὲν βαρβάρων , πρὸς οὓς νῦν πολεμεῖς , ἐπὶ τοσοῦτον ἐξαρκέσει σοι κρατεῖν , ὅσον ἐν ἀσφαλείᾳ καταστῆσαι τὴν σαυτοῦ χώραν , τὸν δὲ βασιλέα τὸν νῦν μέγαν προσαγορευόμενον καταλύειν ἐπιχειρήσεις , ἵνα τήν τε σαυτοῦ δόξαν μείζω ποιήσῃς καὶ τοῖς *̔́ελλησιν ὑποδείξῃς πρὸς ὃν χρὴ πολεμεῖν . πρὸ πολλοῦ δʼ ἂν ἐποιησάμην ἐπιστεῖλαί σοι ταῦτα πρὸ τῆς στρατείας , ἵνʼ εἰ μὲν ἐπείσθης , μὴ τηλικούτῳ κινδύνῳ περιέπεσες , εἰ δʼ ἠπίστησας , μὴ συμβουλεύειν ἐδόκουν ταὐτὰ τοῖς ἤδη διὰ τὸ πάθος ὑπὸ πάντων ἐγνωσμένοις , ἀλλὰ τὸ συμβεβηκὸς ἐμαρτύρει τοὺς λόγους ὀρθῶς ἔχειν τοὺς ὑπʼ ἐμοῦ περὶ αὐτῶν εἰρημένους . πολλὰ δʼ ἔχων εἰπεῖν διὰ τὴν τοῦ πράγματος φύσιν παύσομαι λέγων ·",ἐξαρκέσει;συμβουλεύειν;ἐδόκουν;συμβεβηκὸς,κρατεῖν;συμβουλεύειν,ἐγνωσμένοις
41,Thucydides (0003) - History (001),"λύουσι γὰρ οὐχ οἱ ἀμυνόμενοι , ἀλλʼ οἱ πρότεροι ἐπιόντες . ὥστε πανταχόθεν καλῶς ὑπάρχον ὑμῖν πολεμεῖν καὶ ἡμῶν κοινῇ τάδε παραινούντων , εἴπερ βεβαιότατον τὸ ταὐτὰ ξυμφέροντα καὶ πόλεσι καὶ ἰδιώταις εἶναι , μὴ μέλλετε Ποτειδεάταις τε ποιεῖσθαι τιμωρίαν οὖσι Δωριεῦσι καὶ ὑπὸ *̓ιώνων πολιορκουμένοις , οὗ πρότερον ἦν τοὐναντίον , καὶ τῶν ἄλλων μετελθεῖν τὴν ἐλευθερίαν , ὡς οὐκέτι ἐνδέχεται περιμένοντας τοὺς μὲν ἤδη βλάπτεσθαι , τοὺς δʼ , εἰ γνωσθησόμεθα ξυνελθόντες μέν , ἀμύνεσθαι δὲ οὐ τολμῶντες , μὴ πολὺ ὕστερον τὸ αὐτὸ πάσχειν ·",ὑπάρχον;ξυμφέροντα,πολεμεῖν;εἶναι,ὑμῖν
42,Isocrates (0010) - On the Peace (017),"οὐ μὴν ἀλλʼ εἰ καὶ περὶ ἄλλων τινῶν πραγμάτων ἥρμοσε τοιαῦτα προειπεῖν , δοκεῖ μοι πρέπειν καὶ περὶ τῶν νῦν παρόντων ἐντεῦθεν ποιήσασθαι τὴν ἀρχήν .",δοκεῖ;πρέπειν,πρέπειν;ποιήσασθαι,μοι
43,Isaeus (0017) - On the Estate of Dicaeogenes (005),"ἀδικηθεὶς δὲ ὑπὸ Δικαιογένους μεθʼ ἡμῶν πάλιν ἔπραττεν . ἡμεῖς δὲ καθηγούμενοι οὐκέτι προσήκειν Δικαιογένει ἔχειν τῶν ἐκ τοῦ κλήρου μέρος οὐδέν , ἐπειδὴ οἱ μάρτυρες ἑάλωσαν , ἀμφισβητοῦμεν αὐτῷ ἅπαντος τοῦ οἴκου κατʼ ἀγχιστείαν . καὶ ὅτι ἡμεῖς τε ὀρθῶς ἐγνώκαμεν καὶ οὐδὲν ἔτι προσήκει Δικαιογένει τοῦ κλήρου , ῥᾳδίως διδάξω .",προσήκειν;προσήκει,ἔχειν,Δικαιογένει
44,Plato (0059) - Gorgias (023),ποίας δὴ πειθοῦς καὶ τῆς περὶ τί πειθοῦς ἡ ῥητορική ἐστιν τέχνη ; ἢ οὐ δοκεῖ σοι δίκαιον εἶναι ἐπανερέσθαι ;,δοκεῖ,ἐπανερέσθαι,σοι
45,Herodotus (0016) - Histories (001),"Αἰγυπτίοισι δὲ νενόμισται πῦρ θηρίον εἶναι ἔμψυχον πάντα δὲ αὐτὸ κατεσθίειν τά περ ἂν λάβῃ , πλησθὲν δὲ αὐτὸ τῆς βορῆς συναποθνήσκειν τῷ κατεσθιομένῳ . οὔκων θηρίοισι νόμος οὐδαμῶς σφι ἐστὶ τὸν νέκυν διδόναι , καὶ διὰ ταῦτα ταριχεύουσι , ἵνα μὴ κείμενος ὑπὸ εὐλέων καταβρωθῇ . οὕτω οὐδετέροισι νομιζόμενα ἐνετέλλετο ποιέειν ὁ Καμβύσης . ὡς μέντοι , Αἰγύπτιοι λέγουσι , οὐκ *̓ ́αμασις ἦν ὁ ταῦτα παθών , ἀλλὰ ἄλλος τις τῶν Αἰγυπτίων ἔχων τὴν αὐτὴν ἡλικίην *̓αμάσι , τῷ λυμαινόμενοι Πέρσαι ἐδόκεον *̓ αμάσι λυμαίνεσθαι .",διδόναι;ἐνετέλλετο;ἐδόκεον,ποιέειν;λυμαίνεσθαι,αμάσι
46,Plato (0059) - Phaedrus (012),"ἀτάρ , ὦ φίλε Φαῖδρε , δοκῶ τι σοί , ὥσπερ ἐμαυτῷ , θεῖον πάθος πεπονθέναι ;",δοκῶ,πεπονθέναι,ἐμαυτῷ
47,Demosthenes (0014) - Against Apaturius (033),"μὴ γὰρ ὅτι ἀμφισβητουμένων ἁπάντων , ἀλλʼ εἰ ἦσαν μὲν αἱ συνθῆκαι , ὡμολογεῖτο δὲ εἷς εἶναι ὁ διαιτητὴς *̓αριστοκλῆς , μὴ ἀπεῖπεν δὲ ὁ Παρμένων αὐτῷ καθʼ αὑτοῦ μὴ διαιτᾶν , ἀλλὰ συνέβη πρὶν τὴν ἀπόφασιν γενέσθαι τῆς διαίτης ἡ συμφορὰ τῷ ἀνθρώπῳ , τίς οὕτως ὠμός ἐστιν ἀντίδικος ἢ διαιτητὴς ὃς οὐκ ἂν ἀνεβάλετο εἰς τὸ ἐπιδημῆσαι τὸν ἄνθρωπον ;",συνέβη,γενέσθαι,ἀνθρώπῳ
48,Plato (0059) - Alcibiades 2 (014),οὐκοῦν ἀναγκαῖον ἡμῖν ἐδόκει οἰηθῆναι δεῖν πρῶτον ἡμᾶς εἰδέναι ἢ τῷ ὄντι εἰδέναι τοῦτο ὃ ἂν προχείρως μέλλωμεν ἢ πράττειν ἢ λέγειν ; ἐδόκει .,ἐδόκει;ἐδόκει,οἰηθῆναι;δεῖν;εἰδέναι,ἡμῖν
49,Lysias (0540) - Against Nicomachus (030),"ὃ δὲ πάντων δεινότατον · ὑπογραμματεῦσαι μὲν οὐκ ἔξεστι δὶς τὸν αὐτὸν τῇ ἀρχῇ τῇ αὐτῇ , περὶ δὲ τῶν μεγίστων τοὺς αὐτοὺς ἐᾶτε πολὺν χρόνον κυρίους εἶναι . καὶ τὸ τελευταῖον Νικόμαχον εἵλεσθε ἀναγράφειν τὰ πάτρια , ᾧ κατὰ πατέρα τῆς πόλεως οὐ προσήκει ·",ἔξεστι;προσήκει,ὑπογραμματεῦσαι,ἀρχῇ
50,Plato (0059) - Laws (034),"δὲ ταύτας ἐκείνοις κατʼ ἀγχιστείαν καὶ θέμιν , ὡς ἔμπροσθεν ἐνομοθετήσαμεν . μὴ δὴ λανθανέτω τὸ τῶν τοιούτων νόμων ἡμᾶς βάρος , ὡς χαλεπῶς ἔστιν ὅτε προστάττει τῷ τοῦ τελευτήσαντος κατὰ γένος οἰκείῳ γαμεῖν τὴν συγγενῆ , μὴ δοκεῖ δὲ σκοπεῖν ἃ μυρία ἐν ἀνθρώποις ἐμπόδια γίγνεται τοῖς τοιούτοις ἐπιτάγμασιν τοῦ μήτινα ἐθέλειν πείθεσθαι , πρότερον δὲ οὕστινας ὁτιοῦν ἂν βουληθῆναι παθεῖν , ὁπόταν ἢ σωμάτων νοσήματα καὶ πηρώσεις ἢ διανοίας ἔν τισιν τῶν ἐπιταττομένων γαμεῖν ἢ γαμεῖσθαι γίγνηται .",προστάττει;δοκεῖ,γαμεῖν;σκοπεῖν,οἰκείῳ
51,Xenophon (0032) - Agesilaus (009),"εἰ γὰρ ταῦτα λέγοιμι , *̓αγησίλαόν τʼ ἄν μοι δοκῶ ἄφρονα ἀποφαίνειν καὶ ἐμαυτὸν μωρόν , εἰ ἐπαινοίην τὸν περὶ τῶν μεγίστων εἰκῇ κινδυνεύοντα ·",δοκῶ;ἐπαινοίην,ἀποφαίνειν,μοι
52,Xenophon (0032) - Anabasis (006),"μετὰ τοῦτο , ὡς οἱ Κερασούντιοι λέγουσιν , ἀφικνοῦνται τῶν ἐκ τοῦ χωρίου τρεῖς ἄνδρες τῶν γεραιτέρων πρὸς τὸ κοινὸν τὸ ἡμέτερον χρῄζοντες ἐλθεῖν . ἐπεὶ δʼ ἡμᾶς οὐ κατέλαβον , πρὸς τοὺς Κερασουντίους ἔλεγον ὅτι θαυμάζοιεν τί ἡμῖν δόξειεν ἐλθεῖν ἐπʼ αὐτούς . ἐπεὶ μέντοι σφεῖς λέγειν , ἔφασαν , ὅτι οὐκ ἀπὸ κοινοῦ γένοιτο τὸ πρᾶγμα , ἥδεσθαί τε αὐτοὺς καὶ μέλλειν ἐνθάδε πλεῖν , ὡς ἡμῖν λέξαι τὰ γενόμενα καὶ τοὺς νεκροὺς κελεύειν αὐτοὺς θάπτειν λαβόντας . τῶν δʼ ἀποφυγόντων τινὰς *̔ελλήνων τυχεῖν ἔτι ὄντας ἐν Κερασοῦντι ·",δόξειεν,ἐλθεῖν,ἡμῖν
53,Plato (0059) - Republic (030),"κομιδῇ μὲν οὖν . ἆρʼ οὖν ῥᾳδίως οὕτω παρήσομεν τοὺς ἐπιτυχόντας ὑπὸ τῶν ἐπιτυχόντων μύθους πλασθέντας ἀκούειν τοὺς παῖδας καὶ λαμβάνειν ἐν ταῖς ψυχαῖς ὡς ἐπὶ τὸ πολὺ ἐναντίας δόξας ἐκείναις ἅς , ἐπειδὰν τελεωθῶσιν , ἔχειν οἰησόμεθα δεῖν αὐτούς ; οὐδʼ ὁπωστιοῦν παρήσομεν . πρῶτον δὴ ἡμῖν , ὡς ἔοικεν , ἐπιστατητέον τοῖς μυθοποιοῖς , καὶ ὃν μὲν ἂν καλὸν ποιήσωσιν , ἐγκριτέον , ὃν δʼ ἂν μή , ἀποκριτέον . τοὺς δʼ ἐγκριθέντας πείσομεν τὰς τροφούς τε καὶ μητέρας λέγειν τοῖς παισίν , καὶ πλάττειν τὰς ψυχὰς αὐτῶν τοῖς μύθοις πολὺ μᾶλλον ἢ τὰ σώματα ταῖς χερσίν ·",παρήσομεν;δόξας;παρήσομεν;ἔοικεν,ἀκούειν;ὁπωστιοῦν,ἡμῖν
54,Plato (0059) - Meno (024),"τὸ δὲ χρῶμα τί λέγεις , ὦ Σώκρατες ; ὑβριστής γʼ εἶ , ὦ Μένων · ἀνδρὶ πρεσβύτῃ πράγματα προστάττεις ἀποκρίνεσθαι , αὐτὸς δὲ οὐκ ἐθέλεις ἀναμνησθεὶς εἰπεῖν ὅτι ποτε λέγει Γοργίας ἀρετὴν εἶναι .",προστάττεις,ἀποκρίνεσθαι,ἀνδρὶ;πρεσβύτῃ
55,Demosthenes (0014) - Against Macartatus (043),"ὁ δὲ τουτουὶ πατὴρ Μακαρτάτου καὶ ὁ πάππος οὐ κεκοινωνήκασιν τούτου , ἀλλʼ αὑτοῖς ἰδίᾳ ἐποιήσαντο μνῆμα ἄπωθεν τοῦ Βουσελιδῶν μνήματος . δοκοῦσιν ὑμῖν , ὦ ἄνδρες δικασταί , προσήκειν τι τῷ οἴκῳ τῷ *̔αγνίου , πλὴν τοῦ ἔχειν ἁρπάσαντες τὰ μὴ προσήκοντα ;",δοκοῦσιν;προσήκειν;προσήκοντα,προσήκειν;ἔχειν,οἴκῳ
56,Aeschylus (0085) - Prometheus Bound (003),κρεῖσσον γὰρ οἶμαι τῇδε λατρεύειν πέτρᾳ ἢ πατρὶ φῦναι Ζηνὶ πιστὸν ἄγγελον . οὕτως ὑβρίζειν τοὺς ὑβρίζοντας χρεών . χλιδᾶν ἔοικας τοῖς παροῦσι πράγμασι .,ἔοικας,ὑβρίζειν;χλιδᾶν,πράγμασι
57,Demosthenes (0014) - On the False Embassy (019),"παντάπασι γάρ , ἄνδρες *̓αθηναῖοι , ἐκλελύσθαι μοι δοκεῖτε καὶ παθεῖν ἀναμένειν τὰ δεινά , ἑτέρους δὲ πάσχοντας ὁρῶντες οὐ φυλάττεσθαι , οὐδὲ φροντίζειν τῆς πόλεως πάλαι κατὰ πολλοὺς καὶ δεινοὺς τρόπους διαφθειρομένης . οὐκ οἴεσθε δεινὸν εἶναι καὶ ὑπερφυές ;",δοκεῖτε,ἐκλελύσθαι,μοι
58,Isocrates (0010) - To Demonicus (007),"τὸν γὰρ αὑτῷ τὰ βέλτιστα πράττειν ἐπιτάττοντα , τοῦτον εἰκὸς καὶ τῶν ἄλλων τοὺς ἐπὶ τὴν ἀρετὴν παρακαλοῦντας ἀποδέχεσθαι . μάλιστα δʼ ἂν παροξυνθείης ὀρέγεσθαι τῶν καλῶν ἔργων , εἰ καταμάθοις ὅτι καὶ τὰς ἡδονὰς ἐκ τούτων μάλιστα γνησίως ἔχομεν .",ἐπιτάττοντα;εἰκὸς,πράττειν;ἀποδέχεσθαι,αὑτῷ
59,Plato (0059) - Laws (034),"νοῆσαι μὲν γὰρ δὴ ῥᾷστον ὡς δυνατόν τέ ἐστιν καὶ ὅπῃ _ φαμὲν γὰρ δὴ καθιερωθὲν τοῦτο ἱκανῶς τὸ νόμιμον πᾶσαν ψυχὴν δουλώσεσθαι καὶ παντάπασιν μετὰ φόβου ποιήσειν πείθεσθαι τοῖς τεθεῖσιν νόμοις _ ἀλλὰ γὰρ εἰς τοῦτο προβέβηκε νῦν , ὥστʼ οὐδʼ ἂν τότε γενέσθαι δοκεῖ , καθάπερ τὸ τῶν συσσιτίων ἐπιτήδευμα ἀπιστεῖται μὴ δυνατὸν εἶναι δύνασθαι διὰ βίου πόλιν ὅλην ζῆν πράττουσαν τοῦτο , ἐλεγχθὲν δʼ ἔργῳ καὶ γενόμενον παρʼ ὑμῖν , ὅμως ἔτι τό γε γυναικῶν οὐδὲ ἐν ταῖς ὑμετέραις πόλεσιν δοκεῖ φύσιν ἔχειν γίγνεσθαι .",δοκεῖ;δοκεῖ,γενέσθαι;ἔχειν;γίγνεσθαι,πόλεσιν
60,Plato (0059) - Phaedrus (012),"τῶν δὲ ἄλλων πάμπολυ κρατεῖς _ καὶ νῦν αὖ δοκεῖς αἴτιός μοι γεγενῆσθαι λόγῳ τινὶ ῥηθῆναι . οὐ πόλεμόν γε ἀγγέλλεις . ἀλλὰ πῶς δὴ καὶ τίνι τούτῳ ; ἡνίκʼ ἔμελλον , ὠγαθέ , τὸν ποταμὸν διαβαίνειν , τὸ δαιμόνιόν τε καὶ τὸ εἰωθὸς σημεῖόν μοι γίγνεσθαι ἐγένετο _ ἀεὶ δέ με ἐπίσχει ὃ ἂν μέλλω πράττειν _ καί τινα φωνὴν ἔδοξα αὐτόθεν ἀκοῦσαι , ἥ με οὐκ ἐᾷ ἀπιέναι πρὶν ἂν ἀφοσιώσωμαι , ὡς δή τι ἡμαρτηκότα εἰς τὸ θεῖον . εἰμὶ δὴ οὖν μάντις μέν , οὐ πάνυ δὲ σπουδαῖος , ἀλλʼ ὥσπερ οἱ τὰ γράμματα φαῦλοι , ὅσον μὲν ἐμαυτῷ μόνον ἱκανός ·",δοκεῖς;ἔδοξα;ἀπιέναι,γεγενῆσθαι;ἀκοῦσαι,μοι
61,Xenophon (0032) - On the Art of Horsemanship (013),"εἶδος μὲν δὴ πώλου οὕτω δοκιμάζοντες μάλιστʼ ἂν ἡμῖν δοκοῦσι τυγχάνειν εὔποδος καὶ ἰσχυροῦ καὶ εὐσάρκου καὶ εὐσχήμονος καὶ εὐμεγέθους . εἰ δέ τινες αὐξανόμενοι μεταβάλλουσιν , ὅμως οὕτω θαρρῶν τις δοκιμάζοι ἄν ·",δοκοῦσι,τυγχάνειν,ἡμῖν
